player_name,team
Evan Bouchard,1
David Pastrnak,1
Kirill Kaprizov,1
Cale Makar,1
Andrei Vasilevskiy,2
Macklin Celebrini,2
Jack Eichel,2
Nikita Kucherov,2
Mark Scheifele,3
Jason Robertson,3
Zach Werenski,3
Connor McDavid,3
Jake Guentzel,4
Artemi Panarin,4
Quinn Hughes,4
Nathan MacKinnon,4
Connor Bedard,5
Jack Hughes,5
Mikko Rantanen,5
Auston Matthews,5
Juuse Saros,6
Andrei Svechnikov,6
Clayton Keller,6
Leon Draisaitl,6
Jake Oettinger,7
Martin Necas,7
Rasmus Dahlin,7
Kyle Connor,7
Sergei Bobrovsky,8
Matthew Tkachuk,8
William Nylander,8
Brady Tkachuk,8
Jeremy Swayman,9
Matvei Michkov,9
Wyatt Johnston,9
Tim Stutzle,9
Connor Hellebuyck,10
Brayden Point,10
Sam Reinhart,10
Mitch Marner,10
